"original_story","reordered_story"
"The boy went to a video arcade | He played his favorite machine | His games didn't go very well | He told the owner about his experience | The owner explained that he had made the game settings harder","52341"
"Jimmy was a big fan of cricket | In summer, his dad took him to a local cricket match | The match lasted all day | In the end, Jimmy's local team won by only 2 runs | Jimmy knew he'd never see such a close game of cricket again","35214"
"The baby shook from the cold room | His mother turned up the heat | The nurses kept turning it back down | She was angry that they were making him uncomfortable | She told the doctor she wanted to go home","41235"
"Luke didn't want to pay 15 dollars for a movie | He made his way to the back of the theater | He noticed a couple of teenagers sneaking in the back exit | He went and stood by the door, waiting | It never opened","51234"
"Kara was very close to her mother when she was growing up | Kara went off to college after high school | Her mother was single so she was worried about her | Kara came home for the holidays | When she walked in the house she found her mom dead on the floor","43521"
"My instructor told me to do several laps around the track | I asked for a drink afterwards, but he told me no | I was forced to do several push-ups | He told me to stop as soon as I fell on the floor | I walked into the locker room feeling sore","12345"
"Bob was doing the dishes | Bob wasn't paying attention and dropped a plate | The plate broke as it hit the ground | Bob cleaned up the mess with a vacuum cleaner | Afterwards, he dumped the broken pieces into the trash","31425"
"My wife gets blueberry muffins from the local supermarket | The batter varies from yellow to dark blue in color | Today, the batter was blue, my favorite | My wife was not pleased as yellow is her favorite | I said maybe it will be yellow tomorrow","34152"
"The soda hit the ground hard | She sighed in frustration that she had ruined it | Picking it up, she put it back in the car | Later she went to get a soda | She forgot, and it fizzed all over her","12345"
"Katie decided to learn to make yogurt | She bought a gadget that was supposed to help her | It was very confusing and difficult | Katie threw it away and decided to just buy yogurt | It tasted better when it was from the store","43215"
"Ann wanted to be a fashion model | She saw a notice that a modeling agent was coming to town | Ann went on a crash diet to look like a model | She went to the agent, feeling hungry but fashion model thin | The agent took one look and said Ann was too short to model","34215"
"Lucy was running from an angry old man | She had been playing with his puppy before he got angry | She ran for blocks without looking back | When she stopped she didn't recognize the houses | Adrenaline ran through her veins as she realized she was lost","34125"
"Dan wanted to buy a new car | He went out on a nearby lot to shop around | They had a model that really appealed to Dan | Dan signed the paperwork and made a downpayment | Dan drove away with a brand new BMW","12435"
"Adam got a new job | He was going to transcribe data | He was pushed type fast | He won lots of awards | They promoted Adam","43251"
"Julie decided to run a lemonade stand to earn money for toys | She painted a big sturdy box bright colors for a table | Her mom helped by making a sign | On a hot summer day, they made several pitchers of lemonade | Julie bought a new toy with money she made selling to the neighbors","54132"
"Bob was walking in the park | He got hungry | He decided to forage for food | He found some mushrooms | He ate them and got sick","45213"
"Al was taking a class for college | He needed a certain book for his class | He was talking to his friend about finding the book | His friend told him he already had the book | Al's friend let him borrow the book for class","32451"
"Trudy felt sad so thought she needed a pet | She decided to buy a Puli | She called some Puli owners in town and asked to buy one | The third Puli owner agreed to sell Trudy one of her dogs | So Trudy bought a Puli and is now much happier","14523"
"Max noticed he was always tired so he went to the doctor for help | His doctor asked Max if he slept through the night regularly | Max couldn't remember the last time he had slept through the night | The doctor gave him a small sample of sleeping pills to try | After taking a pill for four nights, Max felt awake during the day","53412"
"Joshua couldn't afford the assigned textbooks | His college textbooks were going to cost over 500 dollars | He knew that a similar amount would be expected in future quarters | Joshua had to decide between stealing them and switching majors | Joshua made the choice that felt right and just","51432"
"Jane loved disney princesses | She always wanted to be young when she was young | For her 21st birthday, he boyfriend took her to Disneyland | She couldn't of picked a better holiday destination | Despite her age, she got pictures with all the princesses","14235"
"Yesterday I got a haircut | I told my stylist I wanted to do something bold this time | I told her to surprise me with something fun | She gave me the most adorable and funky pixie cut | I'm in love with my new look!","54123"
"Our car started making noises when we stopped | I had heard that sound before | It usually meant the brakes had to be serviced | My wife brought the car in | There was only debris that needed to be cleaned out","13452"
"Andrew had a brand new Dodge Challenger car | But now it has a key-scratch along the driver's side | Andrew said a girl from his job calls him a lot for rides to work | His girlfriend complained because he lets another girl in his car | She left for work, scratched his car and texted him, show her that!","31452"
"I ordered my new pajamas | They came in the mail a week later | They were covered in pictures of little animals | I squealed with delight when I saw them | I put them on and wore them all day","32154"
"Two best friends decided to go camping | They hiked way up on a hill and set up their tent | When night fell, they started to hear scary noises | They thought there was a bear outside their tent | When they checked, it was only a tree branch!","15324"
"Tammy was a very proud girl scout | She had worked hard for weeks selling cookies door to door | Now it was time to hear the rankings | She was delighted to hear that she had sold the most | She ended up winning a cute pink radio","12345"
"People shook their heads because Stu wouldn't buy a car | Each day, Stu pedaled a bike ten miles to and from work | While his peers suffered health woes, Stu was as fit as a teen | When Stu retired, many of his buddies were already dead | Stu rode his bike to visit them at the cemetery regularly","53421"
"Tony wanted to cleanse his body | He always ate a lot of junk food | He was gaining a lot of weight | He cut out the junk food and drank nothing but water | After a week, his body was cleansed","12534"
"Sam lived at the bottom of a hill | She found a basketball near her mailbox | The ball had a name written on it in a black marker | She took the ball to that person's house | The ball owner thanked Sam for her help","25341"
"Jacqueline is afraid of earthquakes | She had to move to Chile to work last year | This year there was a big earthquake in the country | Jacqueline was very scared | She decided to quit her job and move away from Chile","12354"
"Anne wanted to feed seagulls | She went down to the lake | There, she crumbled up bread slices | She threw them into the air | Soon tons of gulls were feeding by her!","21435"
"Kate's mom bought a new house | The house was older | It wasn't in good shape | It needed a lot of work | But she was excited about doing the repairs herself","24315"
"Tony loved his dog Snowy more than anything in the world | One day, he forgot to close the front door and his dog ran outside | Toby was devastated and missed his dog terribly | Then he decided to make Lost Dog fliers | While he hung fliers up, a lady saw one and told him she had Snowy!","53412"
"Brad was on a picnic with his family | He had prepared several sandwiches and a pitcher of lemonade | Before they had a chance to eat, a large noise startled them | A bear had crept up behind them and was sniffing at the food | Brad and his family ran away and left the food for the bear","42531"
"Ana invited her friends to her fifteenth birthday party | She was hispanic, and fifteen was a big deal | She had a big party, called a quinceanera | Tons of friends came for cake and socializing | Ana had a great time at her party!","42315"
"Melvin is a dancer | He feels a lot of pressure to be skinny | One day he tried throwing up after eating | It did not make him feel good | Melvin doesn't want to throw up again to be skinny","34521"
"Victoria had too many clothes | She would buy more clothes every time she got paid | She was running out of room to put all of her clothes | She bought hangers to hang them in her closet | Now she has enough room for new clothes","43125"
"Steve's car didn't look like the best, but it was the fastest | After school, Chris sat inside his convertible with his girlfriend | His girlfriend said Steve was looking at her | Chris tried to start a fight but Steve said let's race | Steve beat Chris in a car race and Chris had the newer car","25341"
"Tina wanted to go to the theme park | Problem was it was too expensive | So she ended up going to a discount site | She found tickets half off | Then she was able to go","34512"
"Sue had worked all summer to get ready for the marathon | When the race started Sue bolted off the starting line | She ran 26 miles | As she ran she stopped and got some water | When she crossed the finish line her family was there cheering her on","42135"
"I thought it would be nice to drop in on family last weekend | I drove an hour away to where my aunt lives | When I got there nobody was home | I called to see what was going on | Apparently they had the same idea and were visiting me at home","54123"
"David had only a few friends, but none he could count on | He began adding new people in neighboring towns on social media | Nobody had accepted his requests after 12 hours, and he was sad | He decided to go to bed and ignore his computer for the night | When he awoke, he found that almost all the people had accepted!","14235"
"When Ann met John, he made a poor impression | John barely spoke to her or even look at her | Ann concluded that John was arrogant and rude | John wrote Ann a letter, explaining she made him feel nervous | Ann was surprised to learn that John was actually smitten with her!","15234"
"Ted wasn't very good at dating | He had been looking for a date for a long time | A friend suggested an online dating site | Ted figured he had nothing else to lose | Ted was able to find a nice date on the website","13452"
"Alana was going to start kindergarten | She was very excited but also very nervous | Alana was used to spending all her time around family only | Her first day school went well | Alana loved school and became a very popular student","54213"
"Scott was relentlessly pestering his big brother, Paul | Out of desperation, Paul thought of an idea to entertain Scott | Paul disassembled his Tyrannosaurus rex skeleton model | He hid the many pieces throughout the family's sandbox | Scott was happily occupied for the rest of the day with his digging!","41523"
"Josie couldn't find a date for prom | All her friends were going | Her friends started trying to find her a date | In the end, her friends decided they didn't want dates either | They all went together in a group!","23451"
"Tisha was born and raised in Chicago | She had a great childhood there and wanted the same for her kids | The crime rate began to grow rapidly | Chicago was becoming a dangerous place to raise kids | Tisha moved her family to Indianapolis Indiana for a safer life","54213"
"May was asked to babysit the neighbor's new baby | She agreed to watch the baby | Soon after the parents left the baby began to cry | May tried everything, but the baby just kept crying | She finally fell asleep 20 minutes before the parents returned","41523"
"The same lady came in to clean up John's office every evening | John decided to do something nice for her | John got some flowers and a box of candy | John left them on his desk for her | The next day, John learned that his co-workers ate the candy!","13542"
"Sam is a city boy living in Dallas | He had always wanted to go to the beach but never got the chance | At work they there was a contest for the top performers | Sam was in the top 3 in his department | Sam had won tickets to Boracay","32145"
"Sue drank wine daily, but never felt like she was drunk | Her stomach began to swell and her appetite faded badly | She went to the doctor and was told that she was having liver failure | He recommended a transplant after 6 months of sobriety | She received stem cell treatment in Mexico and her liver was healed","32451"
"Tom was going to high-school for the first time | He decided to reinvent himself | He created a whole new style for himself | All the other students thought he looked goofy | Tom was picked on alot after that","12345"
"Bill loved his Ford mustang more than anything | It was his baby from his college years | Bill was having a baby | He had to save as much money as possible | Bill let go of his baby and sold his Mustang","14352"
"Marge was an all star cook but an even greater baker | She cooked the best red velvet cupcakes and won many competitions | One day she competed for the title of cupcake queen | She placed first place with ease and was crowned the new queen | She remained the queen for as long as she competed never to be beat","53241"
"Jennifer was a little girl | A man pulled up to her house | He offered her candy | Jennifer's brother was with her | He told her to stay away","54123"
"George had gone to the bar | He had drank too many beers | George was barely able to walk | The bartender called George's wife | She came to the bar to pick up George","32145"
"May wanted to be a model | She was very pretty, so she knew she had a chance | She entered competitions as often as she could | Soon she was spotted by a local talent agent | May was recruited to model for a major agency!","21534"
"Sam went to the taco hut for some tacos | When he went there they were out of his favorite hot sauce | He asked if they had any in the back | They said they were all out | Sam decided to get a burrito instead","51234"
"Kevin wanted to be student council president | He spent weeks making flyers and posters | Kevin hung the posters all over school | He was nervous the night before the election | On election day, Kevin won by a landslide","51234"
"Jim wanted to win the marathon | He trained hard for many months | Then came the day of the race and he was ready | He made it halfway and began to tire but he slowed down to recover | After he recovered he was able to finish with a person best time","15243"
"Greg was apologizing to Katherine again | It didn't matter though because she wasn't having it tonight | They were either always very happy or very upset at one another | In order to calm them down, Janet took Katherine home | Dennis spent the rest of the evening cheering Greg up afterwards","23541"
"Marissa was driving down the road late one night | She was getting tired and began rubbing her eyes | Suddenly one of her contacts popped out | She had to quickly pull over because she couldn't see at all | Luckily she was able to replace her contact soon","43251"
"One sunny day the sky suddenly became dark and cloudy | This change in weather caught Kelly by surprise | She ran for cover under trees as the rains came down | She tried to make a makeshift umbrella out of branches | Her umbrella kept her mostly dry as she ran to her car","13452"
"Tony was beyond excited | He was going to go see his favorite band, The Leopards | Tony really loved The Leopards | He got to the show and made his way up to the front | Tony had a great time at the concert that night","15234"
"Katie was writing a paper for her English class | Her paper was the best in the class | Katie's professor entered her paper into a contest | Katie won third place in the writing contest | She won a two hundred dollar prize","52314"
"Tom got into a fight with his friend | His friend told everyone a one sided story | None of Tom's other friends questioned it | Tom was slowly ditched by his friends | Eventually he had nobody to hang out with","52314"
