original_story,reordered_story,reason
I was playing poker | Everyone but my friend and I had folded | I had a royal flush | I decided to go all in | My friend decided to go all in and he lost,I was playing poker | Everyone but my friend and I had folded | I decided to go all in | My friend decided to go all in and he lost,wrong sentence count
John had a test coming up in three days | So John was ready to study for his test | He needed to pass it in order pass the class | John studied for those three days | John took the test and passed it,John had a test coming up in three days | He needed to pass it in order to pass the class | So John was ready to study for his test | John studied for those three days | John took the test and passed it,not a permutation of any gold story
Ben and Jill spent all morning making lemonade and cookies to sell | They got everything set up and ready to go | They were outside for about ten minutes when it started to pour | The rainy just wouldn't stop | So Ben and Jill enjoyed the cookies and lemonade themselves,Ben and Jill spent all morning making lemonade and cookies to sell | They got everything set up and ready to go | They were outside for about ten minutes when it started to pour | The rain just wouldn't stop | So Ben and Jill enjoyed the cookies and lemonade themselves,not a permutation of any gold story
"John was driving to work early one morning | He was taking the usual route that he knew well | He felt comfortable, so he began browsing through his phone | Suddenly, he blew a stop sign a careened off the road | He realized that using his phone while driving can mean real danger","John was driving to work early one morning | He was taking the usual route that he knew well | He felt comfortable, so he began browsing through his phone | Suddenly, he blew a stop sign and careened off the road | He realized that using his phone while driving can mean real danger",not a permutation of any gold story
"Mina looked around hurriedly | Already late, she grabbed her bag and ran out the door | Once in her car, she grabbed her cell phone to make a call | She started dialing the numbers and then saw the time | She realized it was Saturday and she didn't have to go to work","Mina looked around hurriedly | Already late, she grabbed her bag and ran out the door | Once in her car, she grabbed her cell phone to make a call | She started dializing the numbers and then saw the time | She realized it was Saturday and she didn't have to go to work",not a permutation of any gold story
The kids were going to visit their grandparents | The grandparents lived on a farm | They grew crops and raised animals | They kids always had a lot of fun | It was a great time for everyone,The grandparents lived on a farm | They grew crops and raised animals | The kids were going to visit their grandparents | The kids always had a lot of fun | It was a great time for everyone,not a permutation of any gold story
It was mike's last baseball game | The game was tied and he was on deck | He was getting heckled by members of the other team | So when he came up he was extra motivated | He singled up the middle and won the game for them,It was Mike's last baseball game | The game was tied and he was on deck | He was getting heckled by members of the other team | So when he came up he was extra motivated | He singled up the middle and won the game for them,not a permutation of any gold story
Lee wanted to compete in a race | She started running on her own | Soon she was faster and faster | Then she entered a race | Lee came in third place!,3|4|5|1|2,not a permutation of any gold story
"In 1996, my parents tooks a trip to Europe | They toured several countries in only a few weeks | During this trip, they brought back several keepsakes | They gave me a watch from Switzerland | The watch was psychedelic and shiny, and I cherish it","In 1996, my parents took a trip to Europe | They toured several countries in only a few weeks | During this trip, they brought back several keepsakes | They gave me a watch from Switzerland | The watch was psychedelic and shiny, and I cherish it",not a permutation of any gold story
Kelly was driving home late last night from a party | She was speeding a bit | A cop ended up pulling her over | Thankfully he only gave her a warning | Kelly new better next time,Kelly was driving home late last night from a party | She was speeding a bit | A cop ended up pulling her over | Thankfully he only gave her a warning | Kelly knew better next time,not a permutation of any gold story
